male_id,mass_1,mass_2
M016,3030,2791
M031,3080,2881
M037,3221,3208
M038,2961,2781
M043,3028,3091
M047,2800,2828
M050,2411,2460
M071,3001,3091
M073,2585,2538
M083,2923,3071
M094,3024,3142
M096,2980,2830
M098,2990,3080
M120,2869,2990
M124,2825,2649
