Sample.Number,Year.Collected,Population,Habitat,Drainage,Sex,Age,Standard.Length,Body.Height,Caudal.Peduncle.Height,Dorsal.Fin.Base.Length,Anal.Fin.Base.Length,Head.Height,Body.Width,Head.Width,Eye.Diameter
ICH08-012,2008,NY,Stream,Embarras,m,1,43.5,11,6.5,7.4,7.9,8.2,5,7.6,3.8
ICH08-015,2008,NY,Stream,Embarras,m,1,40.5,10.7,6.3,7.1,7.5,8.5,5.3,7.8,3.5
ICH08-019,2008,NY,Stream,Embarras,m,1,38.8,9,5.9,5.9,7.3,7.7,4.7,7.2,3.1
ICH08-114,2008,NY,Stream,Embarras,m,1,25.2,5.7,3.6,3.3,4.6,4.8,3.8,5.1,2.5
ICH08-119,2008,NY,Stream,Embarras,m,1,44.3,11.2,6.3,7,8.3,8.7,5.6,8.2,4
NY03,2010,NY,Stream,Embarras,m,1,35.4,5.8,4.2,5.1,4.7,4.6,5.9,5.2,2.6
NY05,2010,NY,Stream,Embarras,m,1,33.6,5.5,3.1,4.3,5,5,5.5,4.9,2.5
NY07,2010,NY,Stream,Embarras,m,1,32.4,5.3,3.1,4.8,4.8,4.1,4.6,4.3,2.7
NY10,2010,NY,Stream,Embarras,m,1,29.8,5.1,2.9,4.6,4.4,3.9,4.4,4.4,2.2
NY100,2010,NY,Stream,Embarras,m,1,30.28,4.68,3.07,3.93,4.1,3.5,3.9,4,1.8
NY101,2010,NY,Stream,Embarras,m,1,33.91,5.95,4.11,4.34,4.6,4.4,4.9,4.5,2.4
NY102,2010,NY,Stream,Embarras,m,1,38.58,6.68,4.74,5,5.7,5,5.1,4.9,2.8
NY104,2010,NY,Stream,Embarras,m,1,35.8,6.17,4.02,3.74,4.4,4.8,5.5,4.4,2.3
NY105,2010,NY,Stream,Embarras,m,1,36.49,6.12,4.18,4.46,5.2,4.5,5.2,4.5,2.4
NY106,2010,NY,Stream,Embarras,m,1,36.34,6.59,4.75,4.48,5.3,4.8,4.8,4.8,2.4
NY107,2010,NY,Stream,Embarras,m,1,35.9,6.14,4.06,4.88,4.8,4.7,5.2,5.1,2.6
NY108,2010,NY,Stream,Embarras,m,1,31.72,5.41,3.78,3.78,4.5,4.1,3.9,4.3,2.4
NY109,2010,NY,Stream,Embarras,m,1,36.74,6.66,4.16,4.5,5.5,4.3,5,4.5,2.4
NY110,2010,NY,Stream,Embarras,m,1,32.18,5.5,3.82,3.92,4.1,3.8,3.9,4.1,2.3
NY113,2010,NY,Stream,Embarras,m,1,35.1,6.38,4.29,4.71,4.2,4.6,4.2,4.5,2.2
NY12,2010,NY,Stream,Embarras,m,1,32.6,5.5,3.1,4,4.1,4.5,5.2,5.1,2.4
NY13,2010,NY,Stream,Embarras,m,1,34.5,5.9,3.4,5.3,5.1,4.3,5.3,4.7,2.4
NY14,2010,NY,Stream,Embarras,m,1,36,6.6,4.4,5,4.8,4,5.5,5,2.7
NY15,2010,NY,Stream,Embarras,m,1,36.6,6.6,4,4.5,4.7,4.6,5.7,5.9,2.4
NY16,2010,NY,Stream,Embarras,m,1,36.4,6.4,4,4.7,5.9,4.9,5.1,4.9,2.7
NY17,2010,NY,Stream,Embarras,m,1,37,7,4.4,5,4.7,4.8,5.3,5.1,2.7
NY18,2010,NY,Stream,Embarras,m,1,37.1,6.5,4.3,4.9,5.1,5,5.2,5.1,2.6
NY23,2010,NY,Stream,Embarras,m,1,34.5,6.2,3.9,4.7,5.9,5,5,4.9,2.5
33- PT,2010,PT,Stream,Vermilion,f,0,21.61,3.15,2.09,2.31,2.82,2.5,1.8,2.7,1.61
35- PT,2010,PT,Stream,Vermilion,f,0,20.03,2.78,2.22,2.2,1.85,2.48,1.9,2.2,1.59
37- PT,2010,PT,Stream,Vermilion,f,0,26.87,3.91,2.48,2.6,3.98,3.36,2.9,3.6,1.85
39- PT,2010,PT,Stream,Vermilion,f,0,27.9,4.26,2.68,2.63,3.3,3.35,2.8,3.3,1.79
41- PT,2010,PT,Stream,Vermilion,f,0,32.29,4.9,3.6,4.02,4.4,3.93,3.2,3.8,2.31
45 PT,2010,PT,Stream,Vermilion,f,0,32.15,5.17,4.34,3.76,4,3.66,3.2,3.6,2.15
51- PT,2010,PT,Stream,Vermilion,f,0,30.58,4.62,3.73,3.01,3.62,3.72,3.6,3.4,2.19
53- PT,2010,PT,Stream,Vermilion,f,0,25.79,3.56,2.88,2.42,3.28,3.34,2.7,3.4,1.79
ICH08-008,2008,PT,Stream,Vermilion,f,0,13.8,2.6,1.8,1.7,1.6,2.2,1.4,2.2,1.5
PT 69,2010,PT,Stream,Vermilion,f,0,48.9,8,4.7,6.69,5.94,6.16,6.2,7,3.03
PT 71,2010,PT,Stream,Vermilion,f,0,51.2,8.99,5.66,6.1,5.74,6.64,7.3,7.3,2.91
PT103,2010,PT,Stream,Vermilion,f,0,34.1,5.3,3.1,3.8,3.5,4.2,3.8,3.5,2
PT108,2010,PT,Stream,Vermilion,f,0,33.5,5.2,3.3,3.5,3.9,3.9,4,3.7,1.8
PT109,2010,PT,Stream,Vermilion,f,0,27.8,4.6,2.9,3,3.6,3.5,3.3,3.1,1.8
ICH08-002,2008,PT,Stream,Vermilion,f,1,47.5,11.6,7,6.7,6.9,8.7,5.1,6.2,4.5
ICH08-005,2008,PT,Stream,Vermilion,f,1,42.7,9.1,6,6.2,6.8,7.3,5.4,6.5,3.2
ICH08-062,2008,PT,Stream,Vermilion,f,1,40.5,9.5,5.6,6.1,6.2,7.8,4.3,7.2,3
ICH08-063,2008,PT,Stream,Vermilion,f,1,36,8.2,5.2,6.4,6.1,6.6,4.2,7,3.1
PT 63,2010,PT,Stream,Vermilion,f,1,49.5,9.68,6.34,6.23,5.78,6.65,7.1,5.7,3.35
49- PT,2010,PT,Stream,Vermilion,m,0,27.18,4.19,2.9,3.06,3.67,3.51,2.7,3,1.72
55- PT,2010,PT,Stream,Vermilion,m,0,23.56,3.56,2.94,2.4,3.59,3.16,2.6,3,1.46
ICH08-007,2008,PT,Stream,Vermilion,m,0,14,2.7,1.9,1.4,1.7,2.5,1.6,2.2,1.7
PT 101,2010,PT,Stream,Vermilion,m,0,35.4,5.4,3.6,3.96,4.59,4.11,5.1,5.1,2.08
PT 57,2010,PT,Stream,Vermilion,m,0,24.59,3.58,2.44,2.52,3.29,3.05,2.6,3.1,1.79
PT 73,2010,PT,Stream,Vermilion,m,0,36.9,5.6,3.4,4.28,4.74,4.31,5,4.6,2.22
PT102,2010,PT,Stream,Vermilion,m,0,35.3,6.1,3.8,4.9,3.5,4.5,3.8,4,1.9
PT104,2010,PT,Stream,Vermilion,m,0,33.7,5.5,3.4,3.5,4.3,4.2,3.8,3.5,1.7
PT105,2010,PT,Stream,Vermilion,m,0,32.8,5.6,3.4,3.5,4.1,4.2,3.7,3.7,1.8
PT106,2010,PT,Stream,Vermilion,m,0,27.7,4.4,2.7,3,3.4,3.6,2.8,2.8,1.2
PT110,2010,PT,Stream,Vermilion,m,0,29.7,4.9,3.1,3.5,3.9,3.7,3.3,3.3,1.7
ICH08-001,2008,PT,Stream,Vermilion,m,1,42.7,10.2,5.8,7.2,7.6,7.3,3.8,5.4,3.5
ICH08-003,2008,PT,Stream,Vermilion,m,1,47,13,7.4,8.8,9.5,9.2,6,6.3,3.6
ICH08-006,2008,PT,Stream,Vermilion,m,1,44.4,10.8,6.2,7.2,7.2,8.3,4.8,4.6,3.2
ICH08-059,2008,PT,Stream,Vermilion,m,1,44.5,9.8,6.4,7.2,8.5,8,5,8,3.6
PT 61,2010,PT,Stream,Vermilion,m,1,56.1,11.7,6.8,7.37,7.22,7.84,8.3,8.1,3.24
PT 89,2010,PT,Stream,Vermilion,m,1,50.4,9.1,5.6,6.79,6.43,6.51,7.3,8.1,3.1
PT 90,2010,PT,Stream,Vermilion,m,1,52.2,9.3,6.1,6.78,7.1,7.21,7.6,7.4,3.2
PT 91,2010,PT,Stream,Vermilion,m,1,52.4,9.4,5.5,6.1,7,6.98,7.7,8,3.29
ICH08-095,2008,RS,Stream,Vermilion,f,0,21.1,5.5,3.5,4.1,4.5,4.7,2.7,5.1,2.4
ICH08-094,2008,RS,Stream,Vermilion,f,1,41.5,9.6,6.2,6.3,6.8,8,5,7.7,3.2
ICH08-105,2008,RS,Stream,Vermilion,f,1,39.4,8.3,5.7,6,7.1,6.9,5,7.5,3.4
ICH08-096,2008,RS,Stream,Vermilion,m,0,28.8,6.6,4.6,5.2,5.2,5.6,3.4,6.6,2.3
ICH08-100,2008,RS,Stream,Vermilion,m,0,20.2,4,2.6,2.8,4.1,3.6,2.1,4.1,1.8
ICH08-101,2008,RS,Stream,Vermilion,m,0,19,3.5,2.4,2.4,2.8,3.4,2.2,3.5,2
ICH08-103,2008,RS,Stream,Vermilion,m,1,39.4,10.2,6.6,6.6,7.2,8,4.9,7.8,4
SCF 55,2010,SCF,Stream,Sangamon,f,0,29.2,4.9,3.1,2.4,3.6,3.6,3,3.2,2
SCF16,2010,SCF,Stream,Sangamon,f,0,24.1,3.3,2.2,1.7,3.3,2.8,2.7,2.7,1.4
SCF17,2010,SCF,Stream,Sangamon,f,0,25.5,4.1,2.6,2.5,3,3.2,2.5,3.1,1.8
SCF24,2010,SCF,Stream,Sangamon,f,0,31.6,5.1,3.4,3.1,4.2,4,3.5,3.6,2.3
SCF27,2010,SCF,Stream,Sangamon,f,0,29.7,4.7,2.7,2.8,3,3.8,4,3.6,1.9
SCF30,2010,SCF,Stream,Sangamon,f,0,28.1,4.5,2.7,3.3,3.6,3.6,2.8,3.1,1.9
SCF31,2010,SCF,Stream,Sangamon,f,0,31.6,5.2,3.4,3,4,4.1,3.4,3.8,2
SCF32,2010,SCF,Stream,Sangamon,f,0,23.1,3.5,2.4,1.8,2.8,2.9,2.2,2.7,1.6
SCF33,2010,SCF,Stream,Sangamon,f,0,23.3,3.8,2.4,2.2,3.4,2.8,2.3,2.3,1.7
SCF57,2010,SCF,Stream,Sangamon,f,0,31.7,5.2,3.2,3,4.2,3.9,3.1,3.4,2.3
SCF58,2010,SCF,Stream,Sangamon,f,0,34.4,5.8,3.8,3.1,4.7,4.5,3.9,4.2,2.4
SCF59,2010,SCF,Stream,Sangamon,f,0,29.9,4.4,3,2.7,3.8,3.7,3.1,3.4,2.3
SCF6,2010,SCF,Stream,Sangamon,f,0,27.3,4.2,3,2.6,3.6,3.4,2.9,2.9,1.7
SCF73,2010,SCF,Stream,Sangamon,f,0,24,3,2.4,3.07,3.68,3,3.2,3.5,2.1
SCF74,2010,SCF,Stream,Sangamon,f,0,31.5,4.6,3.2,4.23,4.79,4.3,4.7,4.4,2.5
SCF75,2010,SCF,Stream,Sangamon,f,0,28,4.5,3,4.08,4.27,3.6,4.1,3.9,2.2
SCF 52,2010,SCF,Stream,Sangamon,f,1,39.8,6.8,4.8,4.3,5.1,5,4.4,4.9,2.6
SCF 53,2010,SCF,Stream,Sangamon,f,1,32.2,5.1,3.6,3.4,4.4,3.9,3.2,3.6,2.1
SCF1,2010,SCF,Stream,Sangamon,f,1,44.8,8.2,5.1,5.5,4.3,5.8,5.8,5.4,2.6
SCF10,2010,SCF,Stream,Sangamon,f,1,37,6.2,3.7,2.9,3.9,4.6,5.4,4.1,2.1
SCF2,2010,SCF,Stream,Sangamon,f,1,40.6,6.5,4.5,3.5,4.1,5.2,4.7,4.6,2.6
SCF4,2010,SCF,Stream,Sangamon,f,1,46.5,8.6,5.4,5.9,5.7,6.3,6,5.6,3
SCF60,2010,SCF,Stream,Sangamon,f,1,36.5,6,4,3.5,4.8,4.7,4.1,4.7,2.6
SCF62,2010,SCF,Stream,Sangamon,f,1,33.9,5.4,3.7,4.6,4.3,4.4,3.9,4.1,2.2
SCF 51,2010,SCF,Stream,Sangamon,m,0,31.2,5.3,3.4,3,4.8,3.9,3.7,3.8,2.2
SCF 54,2010,SCF,Stream,Sangamon,m,0,25.8,4.3,2.9,2.7,3.5,3.2,2.4,3.3,1.8
SCF 56,2010,SCF,Stream,Sangamon,m,0,31.9,5.1,3.2,3,4.4,3.9,3.4,3.9,2.1
SCF11,2010,SCF,Stream,Sangamon,m,0,25.1,4.4,2.8,2.6,3.1,3.4,2.5,2.7,1.6
SCF12,2010,SCF,Stream,Sangamon,m,0,31.8,5.8,4.4,3.8,4.1,4.4,3.4,3.5,2
SCF13,2010,SCF,Stream,Sangamon,m,0,22.7,3.5,2.4,2.3,3.4,2.8,2,2.2,1.2
SCF15,2010,SCF,Stream,Sangamon,m,0,29.4,5,3.3,3.5,4.9,3.9,3.1,3.4,1.9
SCF21,2010,SCF,Stream,Sangamon,m,0,26.5,4.3,2.6,2.7,3.3,3.3,2.7,3.3,1.7
SCF23,2010,SCF,Stream,Sangamon,m,0,24.6,3.8,2.3,2.4,3.6,3,2.4,2.5,1.8
SCF25,2010,SCF,Stream,Sangamon,m,0,26.8,4.3,2.9,3.3,3.3,3.7,3,3.5,1.7
SCF28,2010,SCF,Stream,Sangamon,m,0,33.3,5.9,3.8,3.3,4.9,4.2,3.5,4,2.1
SCF29,2010,SCF,Stream,Sangamon,m,0,27.7,4.7,2.9,3.1,4,3.5,2.8,3.4,1.9
SCF5,2010,SCF,Stream,Sangamon,m,0,24.8,3.5,2.4,1.8,2.2,2.9,3.2,2.3,1.5
SCF61,2010,SCF,Stream,Sangamon,m,0,28.8,4.7,2.9,2.7,3.9,3.3,2.9,3.3,2
SCF7,2010,SCF,Stream,Sangamon,m,0,24.3,3.9,2.1,1.8,2.8,3.1,3.4,2.9,1.5
SCF71,2010,SCF,Stream,Sangamon,m,0,25.1,3.6,2.5,3.42,3.79,3.2,3.4,3.4,1.8
SCF72,2010,SCF,Stream,Sangamon,m,0,25.8,3.4,2.6,3.48,3.66,3.4,3.3,3.3,2.1
SCF8,2010,SCF,Stream,Sangamon,m,0,23.9,3.6,2.4,2.5,2.9,2.8,2.2,2.2,1.3
SCF9,2010,SCF,Stream,Sangamon,m,0,25.4,4.4,2.8,2.8,3.5,3.2,4.7,2.9,1.6
SCF 50,2010,SCF,Stream,Sangamon,m,1,43,8.5,4.9,5.3,6.1,6.3,5.6,5.5,2.9
SCF14,2010,SCF,Stream,Sangamon,m,1,29.6,5.2,2.9,3.1,4.4,3.9,3.3,3.4,1.9
SCF18,2010,SCF,Stream,Sangamon,m,1,31.1,5.2,3,3.4,4.6,4.2,3.5,3.5,2.2
SCF19,2010,SCF,Stream,Sangamon,m,1,44.6,9.7,5.5,6.3,6.5,6.7,6,5.5,3.1
SCF20,2010,SCF,Stream,Sangamon,m,1,33.8,5.9,3.7,3.3,4.6,4.4,4,3.8,2.1
SCF22,2010,SCF,Stream,Sangamon,m,1,32.3,5.9,3.8,3.9,4.6,4.4,3.8,3.9,2.4
SCF26,2010,SCF,Stream,Sangamon,m,1,35.3,6.2,3.9,3.9,4.9,4.6,4,4.5,2.4
SCF3,2010,SCF,Stream,Sangamon,m,1,37.8,6.7,4.3,4.4,4.5,4.8,4.2,4,2.1
14- SF,2010,SF,Stream,Vermilion,f,0,39.53,7.14,4.76,5,4.9,4.76,4.7,4.4,2.84
15- SF,2010,SF,Stream,Vermilion,f,0,40.02,6.52,4.26,4.86,4.8,4.77,4.7,4.4,2.79
24- SF,2010,SF,Stream,Vermilion,f,0,40.36,7.07,4.05,4.53,5.2,4.37,5,4.5,2.86
27 SF,2010,SF,Stream,Vermilion,f,0,29.94,5.09,2.85,3.46,4.1,3.73,3.5,3.3,1.99
SF 17,2010,SF,Stream,Vermilion,f,0,33.18,5.03,3.18,3.78,3.9,3.69,3.8,3.5,2.21
SF- 19,2010,SF,Stream,Vermilion,f,0,32.94,5.21,3.56,3.72,3.7,3.73,3.7,3.6,2.3
SF- 20,2010,SF,Stream,Vermilion,f,0,31.5,4.88,3.06,3.65,4.4,3.42,3.5,3.6,2.1
SF 22,2010,SF,Stream,Vermilion,f,0,24.36,3.76,2.3,2.5,2.9,2.79,2.7,2.7,1.76
SF- 23,2010,SF,Stream,Vermilion,f,0,20.7,2.68,1.86,2.66,2.3,2.46,1.9,2.1,1.44
SF 824,2010,SF,Stream,Vermilion,f,0,27.24,3.86,2.25,3.38,3.6,2.89,2.5,2.9,1.68
11-SF,2010,SF,Stream,Vermilion,f,1,48.56,9.43,6.2,5.94,5.8,6.28,7.4,5.9,2.94
16- SF,2010,SF,Stream,Vermilion,f,1,44.43,7.69,4.53,4.7,4.6,5.06,5.6,5.2,2.59
ICH08-076,2008,SF,Stream,Vermilion,f,1,40.8,9.7,5.6,6.8,8,7.5,4.5,7.2,2.9
ICH08-080,2008,SF,Stream,Vermilion,f,1,42.1,9.8,6.1,6.2,7,7.8,5.1,8.1,3.3
SF 29,2010,SF,Stream,Vermilion,f,1,45.9,9.54,6.07,5.57,7,7.27,7.6,7.2,3.33
12-SF,2010,SF,Stream,Vermilion,m,0,29.83,5.22,2.78,3.23,3.3,3.4,3.4,3.1,2.24
13- SF,2010,SF,Stream,Vermilion,m,0,42.94,8.19,5.06,4.39,6.01,5.01,5.1,5,2.9
28- SF,2010,SF,Stream,Vermilion,m,0,33.01,5.7,3.4,4.98,3.8,3.9,3.7,3.8,2.06
SF 16,2010,SF,Stream,Vermilion,m,0,34.47,5.66,3.78,4.6,4.1,4.06,4.1,3.9,2.41
SF 18,2010,SF,Stream,Vermilion,m,0,33.97,5.75,3.7,4.34,4.2,4.09,4,3.4,2.3
SF 21,2010,SF,Stream,Vermilion,m,0,29.04,4.76,2.96,3.36,3.7,3.32,2.8,3,1.61
SF 30,2010,SF,Stream,Vermilion,m,0,31.8,4.9,3,4.6,4.3,4,4.5,4.5,1.8
SF 32,2010,SF,Stream,Vermilion,m,0,30,4.79,2.64,3.16,4.13,3.98,4.2,4.6,2.2
SF-10,2010,SF,Stream,Vermilion,m,0,29.77,4.6,2.77,3.62,3.5,3.18,3,3.5,1.82
SF-12,2010,SF,Stream,Vermilion,m,0,38.92,7.05,4.63,4.6,5.2,4.81,4.7,4.9,2.77
23- SF,2010,SF,Stream,Vermilion,m,1,39.36,6.94,4.84,4.48,5.6,4.64,5,4.5,2.58
ICH08-071,2008,SF,Stream,Vermilion,m,1,44.9,11.4,7.1,7.1,9,9.5,4.7,8.5,3.5
ICH08-073,2008,SF,Stream,Vermilion,m,1,36.4,9.8,6.2,5.9,7.5,7.9,4.5,7.4,2.8
ICH08-074,2008,SF,Stream,Vermilion,m,1,39.6,10.3,6.4,6.7,8.2,8.1,4.9,7.7,3.3
ICH08-077,2008,SF,Stream,Vermilion,m,1,38,9.8,6,6.8,7.5,7.6,4.6,7.3,3.2
ICH08-078,2008,SF,Stream,Vermilion,m,1,47.7,12.3,6.8,8.6,9,9.9,5.2,8.5,3.8
ICH08-079,2008,SF,Stream,Vermilion,m,1,38.1,9.5,6.3,6.6,7.7,8.2,4.5,7,3.1
ICH08-081,2008,SF,Stream,Vermilion,m,1,43.2,11.7,6.9,7.7,8.5,8.8,5.5,8.4,3.5
ICH08-082,2008,SF,Stream,Vermilion,m,1,39.9,9.9,6.1,7.4,8.1,7.7,4.8,7.4,3.3
sample 15- SF,2010,SF,Stream,Vermilion,m,1,53.8,10.12,6.55,7.6,8.3,8.59,6.6,6.8,3.64
SF-8,2010,SF,Stream,Vermilion,m,1,52.06,10.38,6.78,6.56,7.44,7.36,7.3,6.9,3
WSSP 2,2010,WSSP,Lake,Sangamon,f,0,37.3,5.9,3.7,4.58,4.6,4.53,5,5.1,2.59
WSSP 20,2010,WSSP,Lake,Sangamon,f,0,36.4,4.8,3.7,4.14,4.32,4.31,5.1,5,2.49
WSSP 25,2010,WSSP,Lake,Sangamon,f,0,31.5,5,3.2,3.06,3.94,3.84,4.7,4.3,2.51
WSSP 27,2010,WSSP,Lake,Sangamon,f,0,29.7,4.6,3,3.19,3.9,3.56,4.8,4.6,2.4
WSSP 30,2010,WSSP,Lake,Sangamon,f,0,31,4.6,3.8,3.88,3.82,3.54,4.4,4.3,2.38
WSSP 32,2010,WSSP,Lake,Sangamon,f,0,32.5,5,3.2,2.9,3.9,4.2,4.7,4.6,2.5
WSSP 33,2010,WSSP,Lake,Sangamon,f,0,27,4.06,2.81,3.72,4.4,3.65,3.9,4,2.32
WSSP 5,2010,WSSP,Lake,Sangamon,f,0,40.7,6.9,4.3,4.81,5.3,5.26,6,6.1,2.93
WSSP 8,2010,WSSP,Lake,Sangamon,f,0,34,5.3,3.3,3.69,3.7,4.01,5,5,2.47
WSSP 12,2010,WSSP,Lake,Sangamon,f,1,38.3,6.3,3.6,4.44,4.8,4.49,5.5,5.7,2.9
WSSP 13,2010,WSSP,Lake,Sangamon,f,1,41.1,7,4.6,4.76,5,5.03,6.8,6.2,2.65
WSSP 3,2010,WSSP,Lake,Sangamon,f,1,40.1,6.4,4,4.22,4.7,4.88,5.1,6,2.75
WSSP 9,2010,WSSP,Lake,Sangamon,f,1,49.8,8.4,5.2,6.16,6.3,6.2,6.9,7.1,3.11
WSSP 1,2010,WSSP,Lake,Sangamon,m,0,42.6,6.8,4.3,4.79,5,5.29,5.7,6.5,2.83
WSSP 14,2010,WSSP,Lake,Sangamon,m,0,42.9,7.2,4.6,5.04,5.64,5.22,5.5,5.9,2.98
WSSP 17,2010,WSSP,Lake,Sangamon,m,0,27.5,4.1,2.4,3.11,3.36,3.34,4,4,2.1
WSSP 18,2010,WSSP,Lake,Sangamon,m,0,35,5.3,3.6,3.5,3.89,4.04,5,5,2.23
WSSP 19,2010,WSSP,Lake,Sangamon,m,0,33.6,5.3,3.3,3.51,4.15,4.18,4.8,4.7,2.34
WSSP 22,2010,WSSP,Lake,Sangamon,m,0,39,6.4,4.1,4.64,4.64,4.93,5.5,5.9,2.71
WSSP 23,2010,WSSP,Lake,Sangamon,m,0,39.9,6.4,4.4,4.96,4.78,4.92,5.5,4.9,2.71
WSSP 26,2010,WSSP,Lake,Sangamon,m,0,36.3,6.8,3.5,3.8,4.21,4.27,5.1,5,2.61
WSSP 28,2010,WSSP,Lake,Sangamon,m,0,34.2,5.3,3.6,3.7,4.59,4.16,5,5.7,2.44
WSSP 29,2010,WSSP,Lake,Sangamon,m,0,38.3,6.2,4.1,3.88,4.74,4.63,5.4,5.3,2.88
WSSP 31,2010,WSSP,Lake,Sangamon,m,0,34.6,5.5,3.5,3.6,4.8,4.4,5.3,5.3,3.5
WSSP 34,2010,WSSP,Lake,Sangamon,m,0,30.8,4.5,3.1,2.9,3.5,3.8,4.4,4.4,2.4
WSSP 4,2010,WSSP,Lake,Sangamon,m,0,35.8,5.5,3.4,3.62,4.2,4.22,4.7,5.1,2.39
WSSP 10,2010,WSSP,Lake,Sangamon,m,1,45.9,8,4.9,5.48,6.2,5.46,6.3,7.2,3.05
WSSP 11,2010,WSSP,Lake,Sangamon,m,1,40.4,6.7,4.3,4.82,6.8,5.08,5.6,6.1,2.78
WSSP 15,2010,WSSP,Lake,Sangamon,m,1,40.5,6.6,4.4,5.04,5.02,5.04,5.6,6,2.77
WSSP 16,2010,WSSP,Lake,Sangamon,m,1,43.2,7.3,4.5,5.03,5.95,5.46,6.9,6.6,2.91
WSSP 21,2010,WSSP,Lake,Sangamon,m,1,40.3,6.8,4.2,4.3,5.22,4.91,6.7,6.6,2.67
WSSP 24,2010,WSSP,Lake,Sangamon,m,1,36,5.8,3.5,3.96,4.12,4.25,5,5.3,2.21
WSSP 6,2010,WSSP,Lake,Sangamon,m,1,42.2,7.2,4.6,4.76,5.1,5.17,6.8,6.9,2.86
WSSP 7,2010,WSSP,Lake,Sangamon,m,1,37.3,6,3.3,4.22,4.4,4.58,5.3,6.8,2.69
